datetime,open,high,low,close,volume
2025-07-18 19:37:00,12.15,12.15,12.15,12.15,5
2025-07-18 19:38:00,12.16,12.16,12.16,12.16,1
2025-07-18 19:39:00,12.25,12.25,12.25,12.25,6
2025-07-18 19:40:00,12.16,12.16,12.16,12.16,5
2025-07-18 19:41:00,12.16,12.16,12.16,12.16,10
2025-07-18 19:42:00,12.2,12.21,12.2,12.21,3
2025-07-18 19:44:00,12.07,12.07,12.07,12.07,2
2025-07-18 19:45:00,12.12,12.12,12.12,12.12,10
2025-07-18 19:48:00,12.17,12.17,12.17,12.17,2
2025-07-18 19:49:00,12.23,12.35,12.23,12.35,9
2025-07-18 19:50:00,12.4,12.4,12.4,12.4,10
2025-07-18 19:51:00,12.54,12.54,12.54,12.54,5
2025-07-18 19:52:00,12.46,12.46,12.46,12.46,6
2025-07-18 19:53:00,12.52,12.53,12.52,12.53,2
2025-07-18 19:54:00,12.55,12.55,12.55,12.55,10
2025-07-18 19:56:00,12.64,12.69,12.64,12.69,3
2025-07-18 19:59:00,12.47,12.55,12.47,12.55,4
2025-07-18 20:00:00,12.61,12.61,12.6,12.6,3
2025-07-18 20:02:00,12.62,12.62,12.62,12.62,2
2025-07-18 20:03:00,12.63,12.64,12.63,12.64,3
2025-07-18 20:05:00,12.59,12.59,12.59,12.59,1
2025-07-18 20:12:00,12.53,12.53,12.53,12.53,1
2025-07-18 20:13:00,12.47,12.47,12.47,12.47,1
