datetime,price
2024-05-16 12:23:00,530.52
2024-05-16 12:24:00,530.5
2024-05-16 12:25:00,530.58
2024-05-16 12:26:00,530.53
2024-05-16 12:27:00,530.57
2024-05-16 12:28:00,530.53
2024-05-16 12:29:00,530.5
2024-05-16 12:30:00,530.27
2024-05-16 12:31:00,530.39
2024-05-16 12:32:00,530.34
2024-05-16 12:33:00,530.27
2024-05-16 12:34:00,530.27
2024-05-16 12:35:00,530.22
2024-05-16 12:36:00,530.08
2024-05-16 12:37:00,530.2
2024-05-16 12:38:00,530.05
2024-05-16 12:39:00,530.18
2024-05-16 12:40:00,530.2
2024-05-16 12:41:00,530.15
2024-05-16 12:42:00,530.25
2024-05-16 12:43:00,530.34
2024-05-16 12:44:00,530.35
2024-05-16 12:45:00,530.31
2024-05-16 12:46:00,530.31
2024-05-16 12:47:00,530.21
2024-05-16 12:48:00,530.0501
2024-05-16 12:49:00,530.14
2024-05-16 12:50:00,530.07
2024-05-16 12:51:00,529.95
2024-05-16 12:52:00,529.92
2024-05-16 12:53:00,529.95
2024-05-16 12:54:00,529.969
2024-05-16 12:55:00,529.98
2024-05-16 12:56:00,529.9
2024-05-16 12:57:00,529.9
2024-05-16 12:58:00,529.99
2024-05-16 12:59:00,529.99
2024-05-16 13:00:00,529.95
2024-05-16 13:01:00,529.94
2024-05-16 13:02:00,529.95
2024-05-16 13:03:00,529.93
2024-05-16 13:04:00,529.95
2024-05-16 13:05:00,529.82
2024-05-16 13:06:00,529.8
2024-05-16 13:07:00,529.77
2024-05-16 13:08:00,529.79
2024-05-16 13:09:00,529.8
2024-05-16 13:10:00,529.85
2024-05-16 13:11:00,529.86
2024-05-16 13:12:00,529.72
2024-05-16 13:13:00,529.72
2024-05-16 13:14:00,529.77
2024-05-16 13:15:00,529.76
2024-05-16 13:16:00,529.7892
2024-05-16 13:17:00,529.79
2024-05-16 13:18:00,529.74
2024-05-16 13:19:00,529.7
2024-05-16 13:20:00,529.82
2024-05-16 13:21:00,529.75
2024-05-16 13:22:00,529.83
2024-05-16 13:23:00,529.9
2024-05-16 13:24:00,529.82
2024-05-16 13:25:00,529.88
