datetime,underlying_price,date,option_symbol,option_type,strike,expiry,bid,ask,mid
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00620000,call,620.0,2025-07-21,7.72,7.83,7.775
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00621000,call,621.0,2025-07-21,6.77,6.88,6.824999999999999
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00622000,call,622.0,2025-07-21,5.83,5.92,5.875
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00623000,call,623.0,2025-07-21,4.92,5.0,4.96
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00624000,call,624.0,2025-07-21,4.04,4.1,4.07
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00625000,call,625.0,2025-07-21,3.2,3.26,3.23
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00626000,call,626.0,2025-07-21,2.43,2.47,2.45
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00627000,call,627.0,2025-07-21,1.75,1.76,1.755
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00628000,call,628.0,2025-07-21,1.17,1.18,1.1749999999999998
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00629000,call,629.0,2025-07-21,0.72,0.74,0.73
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00630000,call,630.0,2025-07-21,0.42,0.43,0.425
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00631000,call,631.0,2025-07-21,0.23,0.24,0.235
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00632000,call,632.0,2025-07-21,0.11,0.12,0.11499999999999999
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00633000,call,633.0,2025-07-21,0.05,0.06,0.055
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00634000,call,634.0,2025-07-21,0.02,0.03,0.025
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00635000,call,635.0,2025-07-21,0.01,0.02,0.015
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00636000,call,636.0,2025-07-21,0.01,0.02,0.015
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00637000,call,637.0,2025-07-21,0.0,0.01,0.005
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00638000,call,638.0,2025-07-21,0.0,0.01,0.005
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00639000,call,639.0,2025-07-21,0.0,0.01,0.005
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00640000,call,640.0,2025-07-21,0.0,0.01,0.005
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00641000,call,641.0,2025-07-21,0.0,0.01,0.005
